Finding,Category,Remediation,Duplicate,Key,Value
VMCH-06-000001,III,$false,Automated,isolation.tools.copy.disable,true
VMCH-06-000002,III,$false,Automated,isolation.tools.dnd.disable,true
VMCH-06-000003,III,$false,Automated,isolation.tools.setGUIOptions.enable,false
VMCH-06-000004,III,$false,Automated,isolation.tools.paste.disable,true
VMCH-06-000005,I,$false,Automated,isolation.tools.diskShrink.disable,true
VMCH-06-000006,I,$false,Automated,isolation.tools.diskWiper.disable,true
VMCH-06-000008,II,$false,Automated,isolation.tools.hgfsServerSet.disable,true
VMCH-06-000009,III,$false,Automated,isolation.tools.ghi.autologon.disable,true
VMCH-06-000010,III,$false,Automated,isolation.bios.bbs.disable,true
VMCH-06-000011,III,$false,Automated,isolation.tools.getCreds.disable,true
VMCH-06-000012,III,$false,Automated,isolation.tools.ghi.launchmenu.change,true
VMCH-06-000013,III,$false,Automated,isolation.tools.memSchedFakeSampleStats.disable,true
VMCH-06-000014,III,$false,Automated,isolation.tools.ghi.protocolhandler.info.disable,true
VMCH-06-000015,III,$false,Automated,isolation.ghi.host.shellAction.disable,true
VMCH-06-000016,III,$false,Automated,isolation.tools.dispTopoRequest.disable,true
VMCH-06-000017,III,$false,Automated,isolation.tools.trashFolderState.disable,true
VMCH-06-000018,III,$false,Automated,isolation.tools.ghi.trayicon.disable,true
VMCH-06-000019,III,$false,Automated,isolation.tools.unity.disable,true
VMCH-06-000020,III,$false,Automated,isolation.tools.unityInterlockOperation.disable,true
VMCH-06-000021,III,$false,Automated,isolation.tools.unity.push.update.disable,true
VMCH-06-000022,III,$false,Automated,isolation.tools.unity.taskbar.disable,true
VMCH-06-000023,III,$false,Automated,isolation.tools.unityActive.disable,true
VMCH-06-000024,III,$false,Automated,isolation.tools.unity.windowContents.disable,true
VMCH-06-000025,III,$false,Automated,isolation.tools.vmxDnDVersionGet.disable,true
VMCH-06-000026,III,$false,Automated,isolation.tools.guestDnDVersionSet.disable,true
VMCH-06-000027,III,$false,Automated,isolation.tools.vixMessage.disable,true
VMCH-06-000033,II,$false,Automated,RemoteDisplay.maxConnections,1
VMCH-06-000034,II,$false,Automated,RemoteDisplay.vnc.enabled,false
VMCH-06-000035,III,$false,Automated,isolation.tools.autoInstall.disable,true
VMCH-06-000036,III,$false,Automated,tools.setinfo.sizeLimit,1048576
VMCH-06-000037,II,$false,Automated,isolation.device.connectable.disable,true
VMCH-06-000038,II,$false,Automated,isolation.device.edit.disable,true
VMCH-06-000039,II,$false,Automated,tools.guestlib.enableHostInfo,false
VMCH-06-000040,III,Manual,$false,sched.mem.pshare.salt
